year,disaster type,disaster group,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage ('000 US$)
1990,Flood,Natural,4,38,,3350,,3350,45000
1990,Storm,Natural,15,162,,10668,,10668,635000
1991,Drought,Natural,2,,,,,,1335000
1991,Earthquake,Natural,1,2,100,,,100,33500
1991,Flood,Natural,14,15,,,,,850000
1991,Storm,Natural,17,87,100,2900,,3000,2560000
1991,Wildfire,Natural,2,28,,,300,300,2500000
1992,Earthquake,Natural,3,1,426,,,426,275000
1992,Storm,Natural,27,97,55,45000,250000,295055,34500000
1992,Wildfire,Natural,2,,,450,540,990,175000
1993,Earthquake,Natural,1,2,,3000,,3000,7500
1993,"Extreme temperature ",Natural,1,48,,,,,
1993,Flood,Natural,6,98,,43900,,43900,12290000
1993,Storm,Natural,20,291,300,,300,600,5125000
1993,Wildfire,Natural,1,3,130,,,130,1000000
1994,Earthquake,Natural,2,60,7000,225,20000,27225,30002100
1994,Flood,Natural,1,37,70,14000,,14070,700000
1994,Landslide,Natural,1,,,125,,125,
1994,Storm,Natural,9,165,450,20300,1000,21750,850000
1994,Wildfire,Natural,3,13,2,1400,30,1432,2000
1995,"Extreme temperature ",Natural,2,710,,,,,
1995,Flood,Natural,6,19,,115300,,115300,3245000
1995,Storm,Natural,10,150,160,84000,2000,86160,13645000
1996,Flood,Natural,4,72,,243115,,243115,2720000
1996,Storm,Natural,9,287,131,4000,,4131,3400000
1996,Wildfire,Natural,2,1,50,,,50,8500
1997,Flood,Natural,8,72,24,190950,400,191374,7345000
1997,Storm,Natural,23,180,222,4670,,4892,2242000
1997,Wildfire,Natural,2,,,1000,,1000,2500
1998,"Extreme temperature ",Natural,1,130,,,,,4275000
1998,Flood,Natural,7,31,,32000,5000,37000,1062000
1998,Storm,Natural,20,203,495,151547,1579,153621,10053450
1998,Wildfire,Natural,4,2,124,41032,65,41221,281100
1999,Drought,Natural,1,,,,,,1100000
1999,"Extreme temperature ",Natural,1,257,,,,,1000000
1999,Flood,Natural,1,,,100,,100,300
1999,Storm,Natural,16,227,929,3050951,6990,3058870,12600500
1999,Wildfire,Natural,3,1,,800,219,1019,92000
2000,Drought,Natural,2,,,,,,1100000
2000,Earthquake,Natural,1,,70,25000,104,25174,50000
2000,"Extreme temperature ",Natural,1,35,,,,,
2000,Flood,Natural,8,8,,1646,2000,3646,286000
2000,Storm,Natural,12,105,351,19218,3585,23154,1865600
2000,Wildfire,Natural,7,14,2,35400,685,36087,2500000
2001,Earthquake,Natural,1,1,400,,,400,2000000
2001,"Extreme temperature ",Natural,1,56,,,,,
2001,Flood,Natural,5,12,,19300,4500,23800,33000
2001,Storm,Natural,17,82,251,109404,71398,181053,6328800
2001,Wildfire,Natural,3,2,10,129,,139,
2002,Drought,Natural,1,,,,,,3300000
2002,"Extreme temperature ",Natural,1,14,,,,,
2002,Flood,Natural,4,26,,145750,,145750,1013000
2002,Storm,Natural,15,190,317,18150,432,18899,6275000
2002,Wildfire,Natural,8,,11,3500,2977,6488,232100
2003,Earthquake,Natural,1,2,40,,120,160,200000
2003,Flood,Natural,4,24,,3200,,3200,123000
2003,Landslide,Natural,1,15,15,,,15,
2003,Storm,Natural,14,172,421,227995,15231,243647,15148400
2003,Wildfire,Natural,3,18,144,27000,750,27894,3500000
2004,"Extreme temperature ",Natural,1,3,,,,,
2004,Flood,Natural,4,1,,5340,,5340,505500
2004,Storm,Natural,12,215,57,5078900,753,5079710,55224770
2004,Wildfire,Natural,3,,5,15200,282,15487,
2005,"Extreme temperature ",Natural,1,33,31,,,31,
2005,Flood,Natural,6,53,8,18250,,18258,730330
2005,Storm,Natural,8,1882,8,830165,132,830305,158230000
2005,Wildfire,Natural,1,5,,,1410,1410,100000
2006,Earthquake,Natural,1,,10,3519,,3529,150000
2006,"Extreme temperature ",Natural,2,188,,,,,
2006,Flood,Natural,11,40,10,74050,,74060,1478500
2006,Storm,Natural,12,93,258,5405,,5663,4727860
2006,Wildfire,Natural,3,5,18,,267,285,66000
2007,Drought,Natural,1,,,,,,300000
2007,Flood,Natural,6,80,40,8770,,8810,728000
2007,Storm,Natural,13,245,417,7700,200,8317,5820000
2007,Wildfire,Natural,3,8,64,650000,927,650991,2815000
2008,Earthquake,Natural,1,,3,2100,,2103,
2008,"Extreme temperature ",Natural,1,,,,,,
2008,Flood,Natural,4,44,148,11032500,,11032648,10002000
2008,Storm,Natural,14,258,597,2300550,,2301147,45760000
2008,Wildfire,Natural,2,1,20,55000,300,55320,2102000
2009,"Extreme temperature ",Natural,1,58,,,,,1100000
2009,Flood,Natural,4,11,60,9000,900,9960,666000
2009,Storm,Natural,10,74,158,750,,908,10390000
2009,Wildfire,Natural,2,2,29,,426,455,100000
2010,Earthquake,Natural,1,,30,600,,630,12500
